MaSP,TenSP,MaLoaiHang,SoLuong,GiaNhap,GiaBan,TrangThai
1,iPhone 14,1,4,20000000.00,25000000.00,1
2,MacBook Pro,2,5,30000000.00,35000000.00,1
3,Samsung S23 Ultra,1,10,22000000.00,28000000.00,1
4,Dell XPS 15,2,3,28000000.00,32000000.00,1
5,Chuột Logitech,3,6,500000.00,700000.00,1
6,Tai nghe AirPods 3,3,15,3500000.00,4200000.00,1
7,Bàn phím cơ Keychron,3,8,1800000.00,2200000.00,1
8,Tủ lạnh Samsung 300L,5,2,8000000.00,10000000.00,1
9,Máy giặt LG Inverter,5,4,7500000.00,9500000.00,1
10,Nồi cơm điện Sharp,4,20,1200000.00,1800000.00,1
11,"  Áo Thun Lỗi  ",6,6,100000.00,150000.00,1
12,Giày Nike $$*,6,6,2000000.00,2500000.00,1
13,Sản phẩm Giá Âm,7,5,-50000.00,100000.00,1
14,Sản phẩm Tồn Âm,7,-10,10000.00,20000.00,1
